run_id,as_of_run_ts,as_of_run_date,publish_tag,customer_sk,customer_key,first_order_ts_utc,first_order_had_any_promo_item,first_order_had_only_promo_items,promo_orders,non_promo_orders,promo_item_count,non_promo_item_count,promo_item_value_eur,non_promo_item_value_eur,promo_only_customer_flag,lifetime_orders
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,000fb65361eda6f8fc650409ccb4ce31,afda332245e2af431fb7b672a68b659d,2023-01-11 16:24:52,false,false,9,97,27,158,66.2255,454.78,false,106
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,000fd3c84f47463585da7b6a2487e9cd,95d309f0b035d97f69902e7972c2b2e6,2023-02-06 13:45:49,false,false,10,47,11,125,22.863999999999997,331.28999999999996,false,57
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,00437e1e07b87d80c563c7156c26a2d8,a01a0380ca3c61428c26a231f0e49a09,2022-12-31 15:27:11,false,false,3,34,4,60,6.671,170.7,false,37
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,0050e79e88b8b8aaa4a4a69b810ddc09,49b8b4f95f02e055801da3b4f58e28b7,2023-01-02 19:09:40,false,false,1,69,1,131,3.344,399.2799999999999,false,70
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,00814463535c0cc53a30800d20b7c81a,2ac2406e835bd49c70469acae337d292,2023-01-03 20:04:40,false,false,6,81,7,178,15.293,550.9499999999998,false,87
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,008c810a5687dd21fa44fe9d5c77fbba,aa68c75c4a77c87f97fb686b2f068676,2023-03-15 16:38:38,false,false,1,19,1,30,1.575,90.37,false,20
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,009e9a8a6450cb5ce4b53ac75674fe78,502e4a16930e414107ee22b6198c578f,2023-03-07 16:15:42,false,false,0,15,0,21,0.0,57.53,false,15
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,0106c524a11ee0f18b95319d2d7eb7e7,aff1621254f7c1be92f64550478c56e6,2023-01-01 17:23:08,false,false,6,72,8,91,16.97,223.23000000000008,false,78
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,011b97b61b49e8823cf4b7c0e515b23f,77369e37b2aa1404f416275183ab055f,2023-01-14 12:50:40,false,false,3,32,4,48,9.449,143.17,false,35
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,011ecee7d295c066ae68d4396215c3d0,a87ff679a2f3e71d9181a67b7542122c,2023-01-21 19:19:26,false,false,0,17,0,32,0.0,79.13,false,17
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,0124387ee8d3365fea58947400bcb129,42ffcf057e133f94c1b7b5cf543ef3bd,2023-01-05 13:49:13,false,false,1,74,1,106,1.7859999999999998,299.15999999999985,false,75
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,0129366568d60233081528ea8270bca6,88a199611ac2b85bd3f76e8ee7e55650,2023-02-16 15:03:56,false,false,9,116,22,143,54.269999999999996,415.3999999999994,false,125
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,014dcdfa71a85e78318620ba9cc01fd8,5878a7ab84fb43402106c575658472fa,2022-12-26 20:24:56,false,false,2,27,12,45,29.988,126.78000000000003,false,29
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,01915b0be42e9b3ba6daa903001f27d7,63dc7ed1010d3c3b8269faf0ba7491d4,2023-01-11 18:27:50,false,false,2,28,6,46,15.048,136.71,false,30
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,01b2fa883e6f876c2f372fb261c5d86e,0c048b3a434e49e655c1247efb389cec,2023-01-10 14:32:43,true,false,10,33,11,63,24.933,165.37,false,43
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,01b64ec141b7b7dbd74efe5378437a52,dc4c44f624d600aa568390f1f1104aa0,2023-05-15 18:08:13,false,false,0,14,0,21,0.0,59.06,false,14
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,01fcf9478c94d87104885baefe5253e1,1afa34a7f984eeabdbb0a7d494132ee5,2023-02-24 18:52:11,false,false,2,21,7,34,18.392,91.23,false,23
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,023ec7e2d8bbb9c787d072d25f7e3543,70ece1e1e0931919438fcfc6bd5f199c,2023-03-21 17:21:48,false,false,0,49,0,73,0.0,206.91000000000008,false,49
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,025b6197f9ef9b71699ca1a2664b69a8,ce5140df15d046a66883807d18d0264b,2023-01-11 11:35:57,false,false,9,171,12,264,31.621499999999997,738.1099999999988,false,180
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,026aa5b3c0b3c5035b7792223f3561fc,0b8aff0438617c055eb55f0ba5d226fa,2023-02-10 19:09:02,false,false,3,37,3,50,7.49,147.71,false,40
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,028882421fd82878cc9beda484fb9c95,e4a6222cdb5b34375400904f03d8e6a5,2023-02-16 13:16:25,false,false,2,14,3,18,7.374,47.36,false,16
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,02d8b771eeaa3979911378f468bf9607,65cc2c8205a05d7379fa3a6386f710e1,2023-01-26 20:47:27,false,false,5,69,6,127,15.011000000000001,332.75999999999993,false,74
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,031330aec28d4c3291c4540d9f6c0112,8d6dc35e506fc23349dd10ee68dabb64,2023-04-04 18:16:41,false,false,1,52,1,101,2.3760000000000003,295.17999999999995,false,53
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,0369d30327d0b9b36132df98d4e0cfc8,c7e1249ffc03eb9ded908c236bd1996d,2022-12-30 17:03:46,false,false,25,72,26,98,85.139,271.77000000000004,false,97
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,036cb477e3dc55262d299603a21c7a8a,70222949cc0db89ab32c9969754d4758,2022-12-28 13:03:14,false,false,0,17,0,24,0.0,66.09999999999998,false,17
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,03810eaa2b96d99832a46a24163cb6ae,63923f49e5241343aa7acb6a06a751e7,2023-01-02 16:19:50,false,false,3,37,3,46,6.204,125.97999999999998,false,40
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,039136b871239ffc723681e4a745bf3f,e1d5be1c7f2f456670de3d53c7b54f4a,2023-01-04 15:12:54,false,false,1,27,1,38,2.7455,106.60999999999999,false,28
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,0393bbbd6c8091a45bc0d0bc57641071,e44fea3bec53bcea3b7513ccef5857ac,2022-12-27 12:50:19,false,false,7,65,11,99,21.569,279.3099999999998,false,72
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,0398621ea5b017ed1b1cd2259c2f5c91,98dce83da57b0395e163467c9dae521b,2022-12-27 19:49:33,false,false,0,22,0,28,0.0,65.43,false,22
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,03bcbd23771236171f5e9af112201471,e995f98d56967d946471af29d7bf99f1,2023-02-13 20:10:52,false,false,0,11,0,20,0.0,52.309999999999995,false,11
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,047d64b33f37c90d2e9e8db9aeeccf29,c0560792e4a3c79e62f76cbf9fb277dd,2022-12-31 13:42:35,false,false,11,83,43,226,115.1035,735.4800000000004,false,94
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,047d72c00a91b28dbd20d1dd4981f96f,ab1a4d0dd4d48a2ba1077c4494791306,2023-01-10 15:03:27,false,false,0,18,0,24,0.0,52.66000000000001,false,18
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,047f6975553d90789d2e3fc8e9579af4,e9fd7c2c6623306db59b6aef5c0d5cac,2023-01-29 12:29:29,false,false,6,70,10,110,23.731,311.0499999999999,false,76
5f7e5c2e-dbb0-4d2a-8635-e168cbde707e,2026-03-08 23:59:05,2026-03-08,scheduled,04a07b023cbd8f09dc35bd8b47655431,19ca14e7ea6328a42e0eb13d585e4c22,2023-01-14 16:04:37,false,false,1,18,2,28,5.016,72.75,false,19
